"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR"
"5885",5885,2014,"14-Jun-14","Magnetic Island Reefs - Florence Bay (Fringing reef leeward) Site 2","Australia",-19.1227,146.881,5,"Bleaching (% of population)",6,"ERG078",1.99,295.08,204429.480017475,174286.078530438,100805.106989868,"MPA","2004"
"5886",5886,2015,"26-Jul-15","Magnetic Island Reefs - Florence Bay (Fringing reef leeward) Site 2","Australia",-19.1227,146.881,5,"Bleaching (% of population)",53,"ERG078",4,295.99,204429.480017475,174286.078530438,100805.106989868,"MPA","2004"
"5887",5887,2017,"19-Mar-17","Magnetic Island Reefs - Florence Bay (Fringing reef leeward) Site 2","Australia",-19.1227,146.881,3,"Bleaching (% of population)",25,"ERG078",10.24,304.27,204429.480017475,174286.078530438,100805.106989868,"MPA","2004"
"5888",5888,2017,"07-Jul-17","Lodestone Reef - South Reef (Back reef slope) Site 1","Australia",-18.6872,147.097,4,"Bleaching (% of population)",0,"ERG078",0,297.16,184911.208791456,843.179054260254,NA,"MPA","2004"
"5889",5889,2017,"08-Jul-17","Wheeler Reef - Students Bommie (Back reef slope) Site 1","Australia",-18.7979,147.521,8,"Bleaching (% of population)",2,"ERG078",0,297.04,123374.281415943,NA,NA,"MPA","2004"
"5890",5890,2012,"19-May-12","Wheeler Reef - The Mooring (Back reef slope) Site 1","Australia",-18.7949,147.521,6,"Bleaching (% of population)",1,"ERG078",1.37,298.41,119528.772871021,NA,NA,"MPA","2004"
"5891",5891,2017,"08-Jul-17","Wheeler Reef - The Mooring (Back reef slope) Site 1","Australia",-18.7949,147.521,4,"Bleaching (% of population)",9,"ERG078",0,297.04,119528.772871021,NA,NA,"MPA","2004"
"5892",5892,2013,"21-Jun-13","The Aquarium","French Polynesia",-14.9756,-147.636,7,"Bleaching (% of population)",30,"ERG116",1.94,300.84,3513.82115448266,2416.98762840778,883.114655971527,"Non MPA",NA
"5893",5893,2017,"09-Jul-17","Keeper Reef - Horseshoe (Back reef wall) Site 1","Australia",-18.7974,147.52,5,"Bleaching (% of population)",0,"ERG078",0,297.04,123374.281415943,NA,NA,"MPA","2004"
"5894",5894,2017,"09-Jul-17","Keeper Reef - North Crest (Reef flat) Site 1","Australia",-18.796,147.521,2,"Bleaching (% of population)",0,"ERG078",0,297.04,123374.281415943,NA,NA,"MPA","2004"
"5895",5895,2014,"12-Jul-14","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 1","Australia",-20.039,148.876,6,"Bleaching (% of population)",1,"ERG078",1.08,295.38,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5896",5896,2015,"01-Oct-15","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 1","Australia",-20.039,148.876,6,"Bleaching (% of population)",18,"ERG078",1.35,296.66,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5897",5897,2016,"23-Apr-16","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 1","Australia",-20.039,148.876,4,"Bleaching (% of population)",160,"ERG078",7.37,299.88,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5898",5898,2014,"24-Oct-14","Daydream Island - Lovers Cove (Fringing reef leeward) Site 1","Australia",-20.2526,148.813,2,"Bleaching (% of population)",27,"ERG078",0,298.21,62546.2813383859,19180.6850379664,12717.9496020172,"MPA","2004"
"5899",5899,2017,"06-Aug-17","Daydream Island - Lovers Cove (Fringing reef leeward) Site 1","Australia",-20.2526,148.813,2,"Bleaching (% of population)",135,"ERG078",3.84,296.38,62546.2813383859,19180.6850379664,12717.9496020172,"MPA","2004"
"5900",5900,2014,"24-Oct-14","Daydream Island - Mermaids Cove (Fringing reef leeward) Site 1","Australia",-20.2504,148.814,2,"Bleaching (% of population)",1,"ERG078",0,298.21,62473.3448185545,19124.3683913904,12717.9496020172,"MPA","2004"
"5901",5901,2017,"06-Aug-17","Daydream Island - South East Reef (Fringing reef leeward) Site 1","Australia",-20.2594,148.815,2,"Bleaching (% of population)",4,"ERG078",3.84,296.38,72946.5317457389,19184.4200197416,12748.3899996374,"MPA","2004"
"5902",5902,2014,"12-Jul-14","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 2","Australia",-20.039,148.876,5,"Bleaching (% of population)",1,"ERG078",1.08,295.38,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5903",5903,2015,"02-Oct-15","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 2","Australia",-20.039,148.876,5,"Bleaching (% of population)",50,"ERG078",1.35,296.66,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5904",5904,2015,"02-Oct-15","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 3","Australia",-20.039,148.876,6,"Bleaching (% of population)",140,"ERG078",1.35,296.66,32198.3595026504,15784.9735134202,412.170735443011,"MPA","2004"
"5905",5905,2013,"22-Jun-13","Hook Island - Luncheon Bay (Fringing reef leeward) Site 1","Australia",-20.0658,148.948,6,"Bleaching (% of population)",15,"ERG078",6.62,296.61,32468.4061032716,13523.6879323679,466.862697936594,"MPA","2004"
"5906",5906,2016,"23-Apr-16","Hook Island - Luncheon Bay (Fringing reef leeward) Site 1","Australia",-20.0658,148.948,7,"Bleaching (% of population)",37,"ERG078",38.18,299.31,32468.4061032716,13523.6879323679,466.862697936594,"MPA","2004"
"5907",5907,2016,"28-May-16","Bait Reef - Garys Inlet (Back reef wall) Site 1","Australia",-19.8076,149.063,4,"Bleaching (% of population)",19,"ERG078",6.27,299.34,28551.4070995073,412.521017618477,NA,"MPA","2004"
"5908",5908,2017,"07-Aug-17","Bait Reef - Banjoras Pond (Lagoon) Site 1","Australia",-19.8131,149.066,2,"Bleaching (% of population)",5,"ERG078",1.28,296.51,28595.80380132,412.521017618477,NA,"MPA","2004"
"5909",5909,2016,"28-May-16","Bait Reef - Garys South Wall (Back reef wall) Site 1","Australia",-19.8178,149.066,5,"Bleaching (% of population)",38,"ERG078",6.27,299.34,28684.2474963884,412.521017618477,NA,"MPA","2004"
"5910",5910,2017,"07-Aug-17","Bait Reef - Garys South Wall (Back reef wall) Site 1","Australia",-19.8178,149.066,5,"Bleaching (% of population)",47,"ERG078",1.28,296.51,28684.2474963884,412.521017618477,NA,"MPA","2004"
"5911",5911,2011,"30-Apr-11","Knuckle Reef - Knuckle Reef (Back reef slope) Site 1","Australia",-19.5717,149.268,9,"Bleaching (% of population)",5,"ERG078",0,299.09,9696.47030181764,NA,NA,"MPA","2004"
"5912",5912,2016,"12-Oct-16","Otaha","French Polynesia",-17.6564,-149.603,2,"Bleaching (% of population)",0,"ERG115",2.37,300.57,201757.53565079,197706.059659004,160657.972867012,"Non MPA",NA
"5913",5913,2016,"12-Oct-16","Hart","French Polynesia",-17.6448,-149.613,3,"Bleaching (% of population)",0,"ERG115",2.59,300.58,201757.53565079,197233.915740013,162196.85873127,"Non MPA",NA
"5914",5914,2016,"26-Mar-16","Keswick Island Reefs - Connie Bay (Fringing reef leeward) Site 1","Australia",-20.8998,149.408,4,"Bleaching (% of population)",25,"ERG081",3.96,301.67,119599.001491184,88751.7173011909,89.64096543286,"MPA","2004"
"5915",5915,2016,"26-Mar-16","Keswick Island Reefs - Coral Gardens (Back reef slope) Site 1","Australia",-20.8931,149.421,5,"Bleaching (% of population)",35,"ERG081",3.96,301.67,119273.56502132,87263.1582566844,53.6717789778486,"MPA","2004"
"5916",5916,2016,"13-Mar-16","Temae","French Polynesia",-17.498,-149.756,1,"Bleaching (% of population)",0,"ERG115",0.212,303.042,202042.437162936,181339.168732643,79001.4115066528,"Non MPA",NA
"5917",5917,2017,"30-Apr-17","Temae","French Polynesia",-17.498,-149.756,1.5,"Bleaching (% of population)",3,"ERG115",1.29,302.362,202042.437162936,181339.168732643,79001.4115066528,"Non MPA",NA
"5918",5918,2017,"18-Nov-17","Temae","French Polynesia",-17.498,-149.756,2,"Bleaching (% of population)",0,"ERG115",0,300.534,202042.437162936,181339.168732643,79001.4115066528,"Non MPA",NA
"5919",5919,2016,"27-Mar-16","Wigton Island Reefs - Pioneer Reef (Fringing reef leeward) Site 2","Australia",-20.7377,149.465,5,"Bleaching (% of population)",100,"ERG081",3.65,301.56,126163.315477541,39657.9402447538,53.7947271103039,"MPA","2004"
"5920",5920,2016,"27-Mar-16","Wigton Island Reefs - Adi's Critters (Fringing reef leeward) Site 1","Australia",-20.7458,149.472,6,"Bleaching (% of population)",45,"ERG081",2.68,301.38,125281.72576446,39657.9402447538,53.7130247661844,"MPA","2004"
"5921",5921,2015,"26-Jun-15","Maharepa - Pharmacie","French Polynesia",-17.4833,-149.813,1.4,"Bleaching (% of population)",0,"ERG115",1.08,299.54,202042.437162936,172309.241456032,28437.5555496216,"Non MPA",NA
"5922",5922,2016,"14-Dec-16","Maharepa - Pharmacie","French Polynesia",-17.4833,-149.813,2,"Bleaching (% of population)",0,"ERG115",4.29,301.1,202042.437162936,172309.241456032,28437.5555496216,"Non MPA",NA
"5923",5923,2017,"30-Apr-17","Maharepa - Pharmacie","French Polynesia",-17.4833,-149.813,1.5,"Bleaching (% of population)",12,"ERG115",2.06,301.93,202042.437162936,172309.241456032,28437.5555496216,"Non MPA",NA
"5924",5924,2015,"02-Jul-15","Maharepa barriere","French Polynesia",-17.4748,-149.816,2.1,"Bleaching (% of population)",9,"ERG115",1.08,300.2,202042.437162936,170713.911988258,28437.5555496216,"Non MPA",NA
"5925",5925,2016,"01-Apr-16","Maharepa barriere","French Polynesia",-17.4748,-149.816,2.1,"Bleaching (% of population)",35,"ERG115",1.64,304.32,202042.437162936,170713.911988258,28437.5555496216,"Non MPA",NA
"5926",5926,2016,"15-Dec-16","Maharepa barriere","French Polynesia",-17.4748,-149.816,2,"Bleaching (% of population)",0,"ERG115",4.29,301.1,202042.437162936,170713.911988258,28437.5555496216,"Non MPA",NA
"5927",5927,2016,"12-Mar-16","Maharepa Pente Externe","French Polynesia",-17.4733,-149.817,10,"Bleaching (% of population)",17,"ERG115",1.21,303.14,202042.437162936,169737.797852516,28437.5555496216,"Non MPA",NA
"5928",5928,2015,"02-Jul-15","Pihaena barriere","French Polynesia",-17.4782,-149.839,2,"Bleaching (% of population)",9,"ERG115",2.5,300.13,202042.437162936,166284.982552528,17543.040309906,"Non MPA",NA
"5929",5929,2016,"15-Dec-16","Pihaena barriere","French Polynesia",-17.4782,-149.839,2,"Bleaching (% of population)",0,"ERG115",5.82,301.57,202042.437162936,166284.982552528,17543.040309906,"Non MPA",NA
"5930",5930,2015,"26-Jun-15","Piahena - Hilton","French Polynesia",-17.4849,-149.84,2.1,"Bleaching (% of population)",1,"ERG115",2.5,299.86,202042.437162936,167665.6981287,17543.040309906,"Non MPA",NA
"5931",5931,2016,"01-Apr-16","Piahena - Hilton","French Polynesia",-17.4849,-149.84,2.1,"Bleaching (% of population)",0,"ERG115",1.08,304.23,202042.437162936,167665.6981287,17543.040309906,"Non MPA",NA
"5932",5932,2016,"14-Dec-16","Piahena - Hilton","French Polynesia",-17.4849,-149.84,2,"Bleaching (% of population)",0,"ERG115",5.82,301.57,202042.437162936,167665.6981287,17543.040309906,"Non MPA",NA
"5933",5933,2017,"18-Nov-17","Piahena - Hilton","French Polynesia",-17.4849,-149.84,2,"Bleaching (% of population)",0,"ERG115",0,299.98,202042.437162936,167665.6981287,17543.040309906,"Non MPA",NA
"5934",5934,2016,"30-Jan-16","Atiha tombant","French Polynesia",-17.5863,-149.853,3,"Bleaching (% of population)",0,"ERG115",1.14,301.65,202042.437162936,172142.260079384,17543.040309906,"Non MPA",NA
"5935",5935,2016,"13-Feb-16","Atiha barriere","French Polynesia",-17.5931,-149.857,1.3,"Bleaching (% of population)",0,"ERG115",0,302.23,202042.437162936,170546.93061161,17543.040309906,"Non MPA",NA
"5936",5936,2016,"30-Jan-16","Atiha frangeant","French Polynesia",-17.5871,-149.852,0.5,"Bleaching (% of population)",1,"ERG115",1.14,301.65,202042.437162936,172142.260079384,17543.040309906,"Non MPA",NA
"5937",5937,2017,"03-Jun-17","Atiha frangeant","French Polynesia",-17.5871,-149.852,1,"Bleaching (% of population)",5,"ERG115",1.01,300.69,202042.437162936,172142.260079384,17543.040309906,"Non MPA",NA
"5938",5938,2016,"05-Mar-16","Linareva","French Polynesia",-17.5506,-149.884,0.5,"Bleaching (% of population)",0,"ERG115",1.03,301.73,202042.437162936,165154.270882607,17543.040309906,"Non MPA",NA
"5939",5939,2015,"13-Nov-15","Intercontinental","French Polynesia",-17.4864,-149.891,2,"Bleaching (% of population)",0,"ERG115",0,300.75,202042.437162936,158848.072976112,17543.040309906,"Non MPA",NA
"5940",5940,2016,"09-Apr-16","Haapiti","French Polynesia",-17.5422,-149.902,2,"Bleaching (% of population)",0,"ERG115",1.64,302.51,202042.437162936,161793.739510536,17543.040309906,"Non MPA",NA
"5941",5941,2016,"09-Apr-16","Tiahura","French Polynesia",-17.4903,-149.908,1.4,"Bleaching (% of population)",0,"ERG115",3.74,302.79,202042.437162936,153054.914956093,17543.040309906,"Non MPA",NA
"5942",5942,2017,"06-May-17","Paea frangent","French Polynesia",-17.7156,-149.584,1,"Bleaching (% of population)",4,"ERG115",1.24,302.5,201757.53565079,198956.006417274,157012.421254158,"Non MPA",NA
"5943",5943,2017,"06-May-17","Paea","French Polynesia",-17.7168,-149.586,1.5,"Bleaching (% of population)",7,"ERG115",1.24,302.5,201757.53565079,198956.006417274,157012.421254158,"Non MPA",NA
"5944",5944,2011,"01-May-11","Hardy Reef - Hardy Reef (Back reef wall) Site 3","Australia",-19.7456,149.166,14,"Bleaching (% of population)",3,"ERG078",22.39,298.87,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5945",5945,2013,"14-Apr-13","Hardy Reef - Hardy Reef (Back reef wall) Site 3","Australia",-19.7456,149.166,5,"Bleaching (% of population)",55,"ERG078",26.94,299.95,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5946",5946,2016,"29-May-16","Hardy Reef - Hardy Reef (Back reef wall) Site 3","Australia",-19.7456,149.166,5,"Bleaching (% of population)",69,"ERG078",18.3,298.76,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5947",5947,2017,"05-Aug-17","Hardy Reef - Hardy Reef (Back reef wall) Site 3","Australia",-19.7456,149.166,5,"Bleaching (% of population)",5,"ERG078",0,296.16,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5948",5948,2016,"29-May-16","Hardy Reef - Hardy Reef (Back reef wall) Site 1","Australia",-19.7458,149.166,5,"Bleaching (% of population)",130,"ERG078",18.3,298.76,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5949",5949,2017,"05-Aug-17","Hardy Reef - Hardy Reef (Back reef wall) Site 1","Australia",-19.7458,149.166,5,"Bleaching (% of population)",0,"ERG078",0,296.16,19412.2393455016,349.697957795113,NA,"MPA","2004"
"5950",5950,2016,"18-Feb-16","Puohine","French Polynesia",-16.879,-151.352,1,"Bleaching (% of population)",0,"ERG115",2.49,302.63,33955.3692321777,23835.42619133,12604.2649364471,"Non MPA",NA
"5951",5951,2015,"31-Oct-15","Napoleon","French Polynesia",-16.7355,-151.504,8,"Bleaching (% of population)",9,"ERG115",0,300.09,34468.9582274184,25309.9444236755,17702.907327652,"Non MPA",NA
"5952",5952,2011,"19-Mar-11","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",15,"ERG115",0,301.27,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5953",5953,2011,"24-Sep-11","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,299.41,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5954",5954,2012,"03-Jun-12","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,300.85,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5955",5955,2012,"08-Sep-12","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,299.63,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5956",5956,2013,"23-Mar-13","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,301.89,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5957",5957,2014,"01-Mar-14","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,304.23,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5958",5958,2014,"28-Sep-14","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,301.01,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5959",5959,2015,"07-Mar-15","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",72,"ERG115",1.1,302.64,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5960",5960,2015,"20-Sep-15","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",2.63,299.33,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5961",5961,2016,"12-Mar-16","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",30,"ERG115",2.04,302.53,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5962",5962,2016,"20-Aug-16","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,300.25,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5963",5963,2017,"08-Apr-17","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",1.57,302.06,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5964",5964,2017,"29-Oct-17","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,300.62,34468.9582274184,27292.9558286667,10529.6117229462,"Non MPA",NA
"5965",5965,2011,"30-May-11","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.3,"Bleaching (% of population)",2,"ERG115",0,300.29,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5966",5966,2011,"24-Nov-11","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.3,"Bleaching (% of population)",0,"ERG115",0,299.72,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5967",5967,2012,"31-May-12","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,3,"Bleaching (% of population)",0,"ERG115",0,300.92,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5968",5968,2014,"18-May-14","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,7.5,"Bleaching (% of population)",4,"ERG115",0,301.05,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5969",5969,2014,"30-Nov-14","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",0,"ERG115",1.01,301.45,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5970",5970,2015,"10-May-15","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",0,"ERG115",1.27,301.89,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5971",5971,2015,"02-Nov-15","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",0,"ERG115",1.01,300.75,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5972",5972,2016,"04-Jun-16","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",35,"ERG115",2.9,301.08,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5973",5973,2016,"03-Dec-16","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",0,"ERG115",2.14,301.85,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5974",5974,2017,"20-May-17","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",5,"ERG115",1.04,301.25,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5975",5975,2017,"02-Nov-17","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.5,"Bleaching (% of population)",0,"ERG115",0,300.27,34468.9582274184,25688.6628227234,9168.13937568665,"Non MPA",NA
"5976",5976,2011,"10-May-11","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,301.17,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5977",5977,2011,"05-Dec-11","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,301.76,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5978",5978,2012,"26-May-12","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,302.06,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5979",5979,2012,"24-Nov-12","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",1.03,301.16,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5980",5980,2013,"28-May-13","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",2.13,301.41,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5981",5981,2014,"21-May-14","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,301.12,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5982",5982,2014,"26-Dec-14","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",1.01,301.73,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5983",5983,2015,"18-May-15","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",1.27,302.13,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5984",5984,2015,"06-Dec-15","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",1.16,300.66,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5985",5985,2016,"08-May-16","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",2.9,302.25,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5986",5986,2016,"05-Nov-16","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",2.14,301.3,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5987",5987,2017,"06-May-17","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",1.04,300.92,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5988",5988,2017,"26-Nov-17","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,300.97,34468.9582274184,24047.185344696,8282.96571540833,"Non MPA",NA
"5989",5989,2011,"04-Apr-11","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",0,301.42,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5990",5990,2011,"20-Oct-11","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",5,"ERG115",0,299.79,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5991",5991,2012,"07-Mar-12","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",10,"ERG115",0,302.07,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5992",5992,2012,"06-Sep-12","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",0,299.63,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5993",5993,2013,"26-Apr-13","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",5,"ERG115",1.33,301.46,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5994",5994,2014,"11-Mar-14","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",15,"ERG115",2.16,303.28,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5995",5995,2014,"15-Sep-14","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",0,300.18,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5996",5996,2015,"12-Apr-15","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",1.17,302.14,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5997",5997,2015,"06-Sep-15","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",3.84,298.89,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5998",5998,2016,"09-Apr-16","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",25,"ERG115",0,303.14,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"5999",5999,2016,"09-Sep-16","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",0,300.1,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"6000",6000,2017,"24-Mar-17","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",3.2,301.75,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"6001",6001,2017,"30-Oct-17","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",0,"ERG115",0,300.62,34468.9582274184,27292.9558286667,9574.2449054718,"Non MPA",NA
"6002",6002,2011,"29-May-11","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",0,300.47,34468.9582274184,25824.8104057312,8783.63473701477,"Non MPA",NA
"6003",6003,2011,"14-Dec-11","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",0,301.41,34468.9582274184,25824.8104057312,8783.63473701477,"Non MPA",NA
"6004",6004,2012,"18-May-12","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",0,302,34468.9582274184,25824.8104057312,8783.63473701477,"Non MPA",NA
"6005",6005,2012,"18-Nov-12","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",2.54,301.24,34468.9582274184,25824.8104057312,8783.63473701477,"Non MPA",NA
"6006",6006,2013,"26-May-13","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",2.06,300.88,34468.9582274184,25824.8104057312,8783.63473701477,"Non MPA",NA
